model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
MERCEDES-BENZ AMG C63,4.0,8,Auto-7,2WD,Gasoline,small car,5,18,24,20,4,No
MERCEDES-BENZ AMG C63 S,4.0,8,Auto-7,2WD,Gasoline,small car,5,17,22,19,3,No
MERCEDES-BENZ AMG C63 S,4.0,8,Auto-7,2WD,Gasoline,small car,5,17,23,19,3,No
MERCEDES-BENZ AMG C63 S,4.0,8,Auto-7,2WD,Gasoline,small car,5,18,24,20,4,No
MERCEDES-BENZ AMG CLA45 4Matic,2.0,4,AutoMan-7,4WD,Gasoline,small car,3,23,30,26,5,No
MERCEDES-BENZ AMG CLS63 4Matic,5.5,8,Auto-7,4WD,Gasoline,small car,3,16,22,18,3,No
MERCEDES-BENZ AMG E63 S 4Matic,4.0,8,Auto-9,4WD,Gasoline,midsize car,5,15,22,18,3,No
MERCEDES-BENZ AMG E63 S 4Matic,4.0,8,Auto-9,4WD,Gasoline,station wagon,5,16,22,18,3,No
MERCEDES-BENZ AMG GLA45 4Matic,2.0,4,AutoMan-7,4WD,Gasoline,station wagon,3,22,28,25,5,No
MERCEDES-BENZ AMG GLE 43 4Matic,3.0,6,Auto-9,4WD,Gasoline,standard SUV,3,17,22,19,3,No
MERCEDES-BENZ AMG GLE 43 4Matic,3.0,6,Auto-9,4WD,Gasoline,standard SUV,3,17,23,19,3,No
MERCEDES-BENZ AMG GLE63,5.5,8,Auto-7,4WD,Gasoline,standard SUV,3,14,18,15,2,No
MERCEDES-BENZ AMG GLE63 S,5.5,8,Auto-7,4WD,Gasoline,standard SUV,3,14,18,15,2,No
MERCEDES-BENZ AMG GLS63,5.5,8,Auto-7,4WD,Gasoline,standard SUV,3,13,18,15,2,No
MERCEDES-BENZ AMG GT,4.0,8,AutoMan-7,2WD,Gasoline,small car,5,16,21,18,3,No
MERCEDES-BENZ AMG GT,4.0,8,AutoMan-7,2WD,Gasoline,small car,5,16,22,18,3,No
MERCEDES-BENZ AMG GT S,4.0,8,AutoMan-7,2WD,Gasoline,small car,5,16,22,18,3,No
MERCEDES-BENZ AMG S63 4Matic,4.0,8,Auto-9,4WD,Gasoline,large car,5,17,26,20,4,No
MERCEDES-BENZ AMG SL63,5.5,8,Auto-7,2WD,Gasoline,small car,3,16,25,19,3,No
MERCEDES-BENZ AMG SL65,6.0,12,Auto-7,2WD,Gasoline,small car,3,13,22,16,2,No
MERCEDES-BENZ C300,2.0,4,Auto-9,2WD,Gasoline,small car,5,22,29,25,5,No
MERCEDES-BENZ C300,2.0,4,Auto-9,2WD,Gasoline,small car,5,22,30,25,5,No
MERCEDES-BENZ C300,2.0,4,Auto-9,2WD,Gasoline,small car,5,24,33,27,6,No
MERCEDES-BENZ C300 4Matic,2.0,4,Auto-9,4WD,Gasoline,small car,5,22,29,25,5,No
MERCEDES-BENZ C300 4Matic,2.0,4,Auto-9,4WD,Gasoline,small car,5,22,30,25,5,No
MERCEDES-BENZ C300 4Matic,2.0,4,Auto-9,4WD,Gasoline,small car,5,23,32,26,5,No
MERCEDES-BENZ CLA250,2.0,4,AutoMan-7,2WD,Gasoline,small car,5,24,37,29,6,No
MERCEDES-BENZ CLA250 4Matic,2.0,4,AutoMan-7,4WD,Ethanol/Gas,small car,5,17/24,24/32,20/27,6,No
MERCEDES-BENZ CLA250 4Matic,2.0,4,AutoMan-7,4WD,Gasoline,small car,5,24,32,27,6,No
MERCEDES-BENZ CLS550,4.7,8,Auto-9,2WD,Gasoline,small car,3,18,26,21,4,No
MERCEDES-BENZ CLS550 4Matic,4.7,8,Auto-9,4WD,Gasoline,small car,3,17,25,20,4,No
MERCEDES-BENZ E300,2.0,4,Auto-9,2WD,Gasoline,midsize car,5,22,30,25,5,No
MERCEDES-BENZ E300 4Matic,2.0,4,Auto-9,4WD,Gasoline,midsize car,5,21,29,24,5,No
MERCEDES-BENZ GLA 250,2.0,4,AutoMan-7,2WD,Gasoline,station wagon,5,24,33,27,6,No
MERCEDES-BENZ GLA250 4Matic,2.0,4,AutoMan-7,4WD,Ethanol/Gas,small SUV,5,17/23,23/31,19/26,5,No
MERCEDES-BENZ GLA250 4Matic,2.0,4,AutoMan-7,4WD,Gasoline,small SUV,5,23,31,26,5,No
MERCEDES-BENZ GLC 300,2.0,4,Auto-9,2WD,Gasoline,small SUV,5,22,28,24,5,No
MERCEDES-BENZ GLC 300 4Matic,2.0,4,Auto-9,4WD,Gasoline,small SUV,5,21,28,24,5,No
MERCEDES-BENZ GLC 300 4Matic,2.0,4,Auto-9,4WD,Gasoline,small SUV,5,22,27,24,5,No
MERCEDES-BENZ GLE350,3.5,6,Auto-7,2WD,Gasoline,standard SUV,3,18,23,20,4,No
MERCEDES-BENZ GLE350 4Matic,3.5,6,Auto-7,4WD,Ethanol/Gas,standard SUV,3,13/18,17/22,14/19,3,No
MERCEDES-BENZ GLE350 4Matic,3.5,6,Auto-7,4WD,Gasoline,standard SUV,3,18,22,19,3,No
MERCEDES-BENZ GLS450 4Matic,3.0,6,Auto-9,4WD,Gasoline,standard SUV,3,17,22,19,3,No
MERCEDES-BENZ GLS550 4Matic,4.7,8,Auto-9,4WD,Gasoline,standard SUV,3,14,19,16,2,No
MERCEDES-BENZ S560 4Matic,4.0,8,Auto-9,4WD,Gasoline,large car,5,17,27,21,4,No
MERCEDES-BENZ S560 4Matic Maybach,4.0,8,Auto-9,4WD,Gasoline,large car,5,16,25,19,3,No
MERCEDES-BENZ SL550,4.7,8,Auto-9,2WD,Gasoline,small car,3,17,25,20,4,No
MERCEDES-BENZ SLC300,2.0,4,Auto-9,2WD,Gasoline,small car,3,25,32,27,6,No
MINI Cooper Clubman,1.5,3,Man-6,2WD,Gasoline,midsize car,7,24,34,28,6,No
MINI Cooper Clubman,1.5,3,SemiAuto-6,2WD,Gasoline,midsize car,7,24,32,27,6,No
MINI Cooper Clubman All4,1.5,3,Man-6,4WD,Gasoline,midsize car,3,22,32,26,5,No
MINI Cooper Clubman All4,1.5,3,SemiAuto-8,4WD,Gasoline,midsize car,3,23,31,26,5,No
MINI Cooper Convertible,1.5,3,Man-6,2WD,Gasoline,small car,7,28,37,32,7,Yes
MINI Cooper Convertible,1.5,3,SemiAuto-6,2WD,Gasoline,small car,7,27,35,30,7,Yes
MINI Cooper Countryman,1.5,3,Man-6,2WD,Gasoline,midsize car,3,24,34,28,6,No
MINI Cooper Countryman,1.5,3,SemiAuto-6,2WD,Gasoline,midsize car,3,24,32,27,6,No
MINI Cooper Countryman All4,1.5,3,Man-6,4WD,Gasoline,midsize car,3,22,32,26,5,No
MINI Cooper Countryman All4,1.5,3,SemiAuto-8,4WD,Gasoline,midsize car,3,23,30,25,5,No
MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,small car,7,28,37,32,7,Yes
MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,small car,7,28,38,32,7,Yes
MINI Cooper Hardtop,1.5,3,SemiAuto-6,2WD,Gasoline,small car,7,27,35,30,7,Yes
MINI Cooper S Clubman,2.0,4,Man-6,2WD,Gasoline,midsize car,7,22,31,25,5,No
MINI Cooper S Clubman,2.0,4,SemiAuto-8,2WD,Gasoline,midsize car,7,23,32,27,6,No
MINI Cooper S Clubman All4,2.0,4,Man-6,4WD,Gasoline,midsize car,7,21,30,24,5,No
MINI Cooper S Clubman All4,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,7,22,31,26,5,No
MINI Cooper S Convertible,2.0,4,Man-6,2WD,Gasoline,small car,7,23,32,26,5,No
MINI Cooper S Convertible,2.0,4,SemiAuto-6,2WD,Gasoline,small car,7,25,33,28,6,No
MINI Cooper S Countryman,2.0,4,SemiAuto-8,2WD,Gasoline,midsize car,7,23,32,27,6,No
MINI Cooper S Countryman All4,2.0,4,Man-6,4WD,Gasoline,midsize car,7,21,31,24,5,No
MINI Cooper S Countryman All4,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,7,22,31,26,5,No
MINI Cooper S Hardtop,2.0,4,Man-6,2WD,Gasoline,small car,7,23,32,26,5,No
MINI Cooper S Hardtop,2.0,4,SemiAuto-6,2WD,Gasoline,small car,7,25,32,28,6,No
MINI Cooper SE Countryman All4,1.5,3,SemiAuto-6,4WD,Gasoline/Electricity,midsize car,3,28/63,27/66,27/65,9,Yes
MINI JCW Countryman All4,2.0,4,Man-6,4WD,Gasoline,midsize car,3,20,29,24,5,No
MINI JCW Countryman All4,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,3,22,30,25,5,No
MINI John Cooper Works Clubman All4,2.0,4,Man-6,4WD,Gasoline,midsize car,3,21,31,24,5,No
MINI John Cooper Works Clubman All4,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,3,23,31,26,5,No
MINI John Cooper Works Convertible,2.0,4,Man-6,2WD,Gasoline,small car,3,22,31,25,5,No
MINI John Cooper Works Convertible,2.0,4,SemiAuto-6,2WD,Gasoline,small car,3,25,33,28,6,No
MINI John Cooper Works Hardtop,2.0,4,Man-6,2WD,Gasoline,small car,3,23,32,26,5,No
MINI John Cooper Works Hardtop,2.0,4,SemiAuto-6,2WD,Gasoline,small car,3,25,32,28,6,No
MITSUBISHI Mirage,1.2,3,CVT,2WD,Gasoline,small car,5,37,43,39,9,Yes
MITSUBISHI Mirage,1.2,3,Man-5,2WD,Gasoline,small car,5,33,41,36,8,Yes
MITSUBISHI Mirage G4,1.2,3,CVT,2WD,Gasoline,small car,5,35,41,37,8,Yes
MITSUBISHI Mirage G4,1.2,3,Man-5,2WD,Gasoline,small car,5,33,40,35,8,Yes
NISSAN 370Z,3.7,6,Man-6,2WD,Gasoline,small car,3,18,26,21,4,No
NISSAN 370Z,3.7,6,SemiAuto-7,2WD,Gasoline,small car,3,19,26,22,4,No
NISSAN 370Z Roadster,3.7,6,Man-6,2WD,Gasoline,small car,3,17,24,20,4,No
NISSAN 370Z Roadster,3.7,6,SemiAuto-7,2WD,Gasoline,small car,3,18,25,21,4,No
NISSAN Armada,5.6,8,SemiAuto-7,2WD,Gasoline,standard SUV,3,14,19,16,2,No
NISSAN Armada,5.6,8,SemiAuto-7,4WD,Gasoline,standard SUV,3,13,18,15,2,No
NISSAN Versa,1.6,4,Auto-4,2WD,Gasoline,small car,3,26,35,29,6,No
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,small car,3,31,39,34,8,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,small car,5,31,39,34,8,Yes
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,small car,3,27,36,30,7,Yes
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,small car,5,27,36,30,7,Yes
PORSCHE 911 Carrera,3.0,6,AMS-7,2WD,Gasoline,small car,1,22,30,25,5,No
PORSCHE 911 Carrera,3.0,6,Man-7,2WD,Gasoline,small car,1,20,29,23,5,No
PORSCHE 911 Carrera 4,3.0,6,AMS-7,4WD,Gasoline,small car,1,22,28,24,5,No
PORSCHE 911 Carrera 4,3.0,6,Man-7,4WD,Gasoline,small car,1,20,28,23,5,No
PORSCHE 911 Carrera 4 Cabriolet,3.0,6,AMS-7,4WD,Gasoline,small car,1,21,28,24,5,No
PORSCHE 911 Carrera 4 Cabriolet,3.0,6,Man-7,4WD,Gasoline,small car,1,19,28,22,4,No
PORSCHE 911 Carrera 4 GTS,3.0,6,AMS-7,4WD,Gasoline,small car,1,20,26,22,4,No
PORSCHE 911 Carrera 4 GTS,3.0,6,Man-7,4WD,Gasoline,small car,1,18,26,21,4,No
PORSCHE 911 Carrera 4 GTS Cabriolet,3.0,6,AMS-7,4WD,Gasoline,small car,1,20,25,22,4,No
PORSCHE 911 Carrera 4 GTS Cabriolet,3.0,6,Man-7,4WD,Gasoline,small car,1,18,26,21,4,No
PORSCHE 911 Carrera 4S,3.0,6,AMS-7,4WD,Gasoline,small car,1,21,28,24,5,No
PORSCHE 911 Carrera 4S,3.0,6,Man-7,4WD,Gasoline,small car,1,20,28,23,5,No
PORSCHE 911 Carrera 4S Cabriolet,3.0,6,AMS-7,4WD,Gasoline,small car,1,21,28,24,5,No
PORSCHE 911 Carrera 4S Cabriolet,3.0,6,Man-7,4WD,Gasoline,small car,1,19,28,22,4,No
PORSCHE 911 Carrera Cabriolet,3.0,6,AMS-7,2WD,Gasoline,small car,1,22,28,24,5,No
PORSCHE 911 Carrera Cabriolet,3.0,6,Man-7,2WD,Gasoline,small car,1,20,29,23,5,No
PORSCHE 911 Carrera GTS,3.0,6,AMS-7,2WD,Gasoline,small car,1,20,26,23,5,No
PORSCHE 911 Carrera GTS,3.0,6,Man-7,2WD,Gasoline,small car,1,18,26,21,4,No
PORSCHE 911 Carrera GTS Cabriolet,3.0,6,AMS-7,2WD,Gasoline,small car,1,20,26,22,4,No
PORSCHE 911 Carrera GTS Cabriolet,3.0,6,Man-7,2WD,Gasoline,small car,1,18,26,21,4,No
PORSCHE 911 Carrera S,3.0,6,AMS-7,2WD,Gasoline,small car,1,22,28,24,5,No
PORSCHE 911 Carrera S,3.0,6,Man-7,2WD,Gasoline,small car,1,20,29,23,5,No
PORSCHE 911 Carrera S Cabriolet,3.0,6,AMS-7,2WD,Gasoline,small car,1,22,28,24,5,No
PORSCHE 911 Carrera S Cabriolet,3.0,6,Man-7,2WD,Gasoline,small car,1,20,28,23,5,No
PORSCHE 911 Targa 4,3.0,6,AMS-7,4WD,Gasoline,small car,1,22,28,24,5,No
PORSCHE 911 Targa 4,3.0,6,Man-7,4WD,Gasoline,small car,1,19,28,22,4,No
PORSCHE 911 Targa 4 GTS,3.0,6,AMS-7,4WD,Gasoline,small car,1,20,26,22,4,No
PORSCHE 911 Targa 4 GTS,3.0,6,Man-7,4WD,Gasoline,small car,1,18,26,21,4,No
PORSCHE 911 Targa 4S,3.0,6,AMS-7,4WD,Gasoline,small car,1,21,27,24,5,No
PORSCHE 911 Targa 4S,3.0,6,Man-7,4WD,Gasoline,small car,1,19,28,22,4,No
PORSCHE 911 Turbo,3.8,6,AMS-7,4WD,Gasoline,small car,1,19,24,21,4,No
PORSCHE 911 Turbo Cabriolet,3.8,6,AMS-7,4WD,Gasoline,small car,1,19,24,21,4,No
PORSCHE 911 Turbo S,3.8,6,AMS-7,4WD,Gasoline,small car,1,19,24,21,4,No
PORSCHE 911 Turbo S Cabriolet,3.8,6,AMS-7,4WD,Gasoline,small car,1,19,24,21,4,No
PORSCHE Boxster,2.0,4,AMS-7,2WD,Gasoline,small car,3,22,29,25,5,No
PORSCHE Boxster,2.0,4,Man-6,2WD,Gasoline,small car,3,21,28,24,5,No
PORSCHE Boxster S,2.5,4,AMS-7,2WD,Gasoline,small car,3,21,28,24,5,No
PORSCHE Boxster S,2.5,4,Man-6,2WD,Gasoline,small car,3,20,26,22,4,No
PORSCHE Cayenne GTS,3.6,6,SemiAuto-8,4WD,Gasoline,standard SUV,3,16,23,19,3,No
PORSCHE Cayenne S,3.6,6,SemiAuto-8,4WD,Gasoline,standard SUV,3,17,24,20,4,No
PORSCHE Macan,2.0,4,AMS-7,4WD,Gasoline,small SUV,3,20,25,22,4,No
PORSCHE Macan GTS,3.0,6,AMS-7,4WD,Gasoline,small SUV,3,17,23,19,3,No
PORSCHE Macan S,3.0,6,AMS-7,4WD,Gasoline,small SUV,3,17,23,19,3,No
PORSCHE Panamera,3.0,6,AMS-8,2WD,Gasoline,large car,5,21,28,24,5,No
PORSCHE Panamera 4,3.0,6,AMS-8,4WD,Gasoline,large car,5,21,27,23,5,No
PORSCHE Panamera 4 Executive,3.0,6,AMS-8,4WD,Gasoline,large car,5,21,27,23,5,No
PORSCHE Panamera 4S,2.9,6,AMS-8,4WD,Gasoline,large car,5,21,28,23,5,No
PORSCHE Panamera 4S Executive,2.9,6,AMS-8,4WD,Gasoline,large car,5,21,28,23,5,No
PORSCHE Panamera Turbo,4.0,8,AMS-8,4WD,Gasoline,large car,3,18,25,21,4,No
PORSCHE Panamera Turbo Executive,4.0,8,AMS-8,4WD,Gasoline,large car,3,18,25,21,4,No
RAM 1500,5.7,8,Auto-6,4WD,Gasoline,pickup,3,13,18,14,1,No
RAM 1500,5.7,8,Auto-8,2WD,Gasoline,pickup,3,15,22,17,3,No
RAM 1500,5.7,8,Auto-8,4WD,Gasoline,pickup,3,15,21,17,3,No
RAM Promaster City,2.4,4,Auto-9,2WD,Gasoline,special purpose,3,21,28,24,5,No
SUBARU Crosstrek,2.0,4,Man-6,4WD,Gasoline,small SUV,7,23,29,25,5,No
SUBARU Crosstrek,2.0,4,SCV-7,4WD,Gasoline,small SUV,7,27,33,29,6,No
SUBARU Forester,2.0,4,SCV-8,4WD,Gasoline,small SUV,1,23,27,25,5,No
SUBARU Forester,2.5,4,Man-6,4WD,Gasoline,small SUV,7,22,28,24,5,No
SUBARU Forester,2.5,4,SCV-6,4WD,Gasoline,small SUV,7,26,32,28,6,No
SUBARU Impreza,2.0,4,Man-5,4WD,Gasoline,midsize car,7,24,32,27,6,No
SUBARU Impreza,2.0,4,Man-5,4WD,Gasoline,station wagon,7,24,31,26,5,No
SUBARU Impreza,2.0,4,SCV-7,4WD,Gasoline,midsize car,7,28,38,32,7,Yes
SUBARU Impreza,2.0,4,SCV-7,4WD,Gasoline,station wagon,7,28,37,31,7,Yes
SUBARU Impreza Sport,2.0,4,Man-5,4WD,Gasoline,midsize car,7,23,31,26,5,No
SUBARU Impreza Sport,2.0,4,Man-5,4WD,Gasoline,station wagon,7,22,30,25,5,No
SUBARU Impreza Sport,2.0,4,SCV-7,4WD,Gasoline,midsize car,7,27,36,30,7,Yes
SUBARU Impreza Sport,2.0,4,SCV-7,4WD,Gasoline,station wagon,7,27,35,30,7,Yes
SUBARU Legacy,2.5,4,SCV-7,4WD,Gasoline,midsize car,7,25,34,29,6,No
SUBARU Legacy,3.6,6,SCV-6,4WD,Gasoline,midsize car,3,20,28,23,5,No
SUBARU Outback,2.5,4,SCV-7,4WD,Gasoline,small SUV,7,25,32,28,6,No
SUBARU Outback,3.6,6,SCV-6,4WD,Gasoline,small SUV,3,20,27,22,4,No
SUBARU WRX,2.0,4,Man-6,4WD,Gasoline,small car,1,21,27,23,5,No
SUBARU WRX,2.0,4,SCV-8,4WD,Gasoline,small car,1,18,24,21,4,No
SUBARU WRX,2.5,4,Man-6,4WD,Gasoline,small car,1,17,22,19,3,No
TOYOTA 4Runner,4.0,6,SemiAuto-5,2WD,Gasoline,standard SUV,3,17,21,18,3,No
TOYOTA 4Runner,4.0,6,SemiAuto-5,4WD,Gasoline,standard SUV,3,17,20,18,3,No
TOYOTA Avalon,3.5,6,SemiAuto-6,2WD,Gasoline,midsize car,3,21,30,24,5,No
TOYOTA Avalon Hybrid,2.5,4,SCV-6,2WD,Gasoline,midsize car,7,40,39,40,9,Yes
TOYOTA C-HR,2.0,4,SCV-7,2WD,Gasoline,small car,3,27,31,29,6,No
TOYOTA Camry,2.5,4,SemiAuto-8,2WD,Gasoline,midsize car,7,29,41,34,8,Yes
TOYOTA Camry,3.5,6,SemiAuto-8,2WD,Gasoline,midsize car,5,22,33,26,5,No
TOYOTA Camry Hybrid LE,2.5,4,SCV-6,2WD,Gasoline,midsize car,7,51,53,52,10,Elite
TOYOTA Camry Hybrid XLE/SE,2.5,4,SCV-6,2WD,Gasoline,midsize car,7,44,47,46,10,Elite
TOYOTA Camry LE/SE,2.5,4,SemiAuto-8,2WD,Gasoline,midsize car,7,28,39,32,7,Yes
TOYOTA Camry XLE/XSE,2.5,4,SemiAuto-8,2WD,Gasoline,midsize car,7,28,39,32,7,Yes
TOYOTA Camry XSE,3.5,6,SemiAuto-8,2WD,Gasoline,midsize car,5,22,32,26,5,No
TOYOTA Corolla,1.8,4,CVT,2WD,Gasoline,midsize car,3,28,36,32,7,Yes
TOYOTA Corolla,1.8,4,Man-6,2WD,Gasoline,midsize car,3,27,35,30,7,Yes
TOYOTA Corolla,1.8,4,SCV-7,2WD,Gasoline,midsize car,3,28,35,31,7,Yes
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,midsize car,5,29,38,33,8,Yes
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,midsize car,5,30,40,34,8,Yes
TOYOTA Corolla iM,1.8,4,Man-6,2WD,Gasoline,midsize car,5,27,35,30,7,Yes
TOYOTA Corolla iM,1.8,4,SCV-7,2WD,Gasoline,midsize car,5,28,36,31,7,Yes
TOYOTA Land Cruiser,5.7,8,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,18,15,2,No
TOYOTA Prius c,1.5,4,CVT,2WD,Gasoline,small car,7,48,43,46,10,Elite
TOYOTA RAV4,2.5,4,SemiAuto-6,2WD,Gasoline,small SUV,3,23,29,25,5,No
TOYOTA RAV4,2.5,4,SemiAuto-6,4WD,Gasoline,small SUV,3,22,28,25,5,No
TOYOTA RAV4 Hybrid,2.5,4,SCV-6,4WD,Gasoline,small SUV,7,34,30,32,7,Yes
TOYOTA RAV4 LE/XLE,2.5,4,SemiAuto-6,2WD,Gasoline,small SUV,3,23,30,26,5,No
TOYOTA RAV4 Limited,2.5,4,SemiAuto-6,4WD,Gasoline,small SUV,3,22,28,24,5,No
TOYOTA Sequoia,5.7,8,SemiAuto-6,2WD,Gasoline,standard SUV,5,13,17,15,2,No
TOYOTA Sequoia,5.7,8,SemiAuto-6,4WD,Gasoline,standard SUV,5,13,17,14,1,No
TOYOTA Sequoia FFV,5.7,8,SemiAuto-6,4WD,Ethanol/Gas,standard SUV,5,9/13,13/17,10/14,1,No
TOYOTA Tundra,4.6,8,SemiAuto-6,2WD,Gasoline,pickup,3,15,19,16,2,No
TOYOTA Tundra,4.6,8,SemiAuto-6,4WD,Gasoline,pickup,3,14,18,16,2,No
TOYOTA Tundra,5.7,8,SemiAuto-6,2WD,Gasoline,pickup,5,13,18,15,2,No
TOYOTA Tundra,5.7,8,SemiAuto-6,4WD,Gasoline,pickup,5,13,17,14,1,No
TOYOTA Tundra FFV,5.7,8,SemiAuto-6,4WD,Ethanol/Gas,pickup,5,9/13,12/17,10/15,2,No
TOYOTA Yaris,1.5,4,Auto-4,2WD,Gasoline,small car,3,30,35,32,7,Yes
TOYOTA Yaris,1.5,4,Man-5,2WD,Gasoline,small car,3,30,36,33,8,Yes
VOLKSWAGEN Beetle,2.0,4,SemiAuto-6,2WD,Gasoline,small car,7,26,33,29,6,No
VOLKSWAGEN Beetle Convertible,2.0,4,SemiAuto-6,2WD,Gasoline,small car,7,26,33,29,6,No
VOLKSWAGEN Beetle Dune,2.0,4,SemiAuto-6,2WD,Gasoline,small car,7,26,34,29,6,No
VOLKSWAGEN Beetle Dune Convertible,2.0,4,SemiAuto-6,2WD,Gasoline,small car,7,26,34,29,6,No
VOLKSWAGEN Golf R,2.0,4,AMS-7,4WD,Gasoline,small car,3,22,29,25,5,No
VOLKSWAGEN Golf R,2.0,4,Man-6,4WD,Gasoline,small car,3,21,29,24,5,No
VOLKSWAGEN Jetta,1.4,4,Man-5,2WD,Gasoline,small car,3,28,40,33,8,Yes
VOLKSWAGEN Jetta,1.4,4,SemiAuto-6,2WD,Gasoline,small car,5,28,38,32,7,Yes
VOLKSWAGEN Jetta,1.8,4,SemiAuto-6,2WD,Gasoline,small car,7,24,33,28,6,No
VOLKSWAGEN Jetta,2.0,4,AMS-6,2WD,Gasoline,small car,7,24,33,27,6,No
VOLKSWAGEN Passat,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,7,25,36,29,6,No
VOLKSWAGEN Tiguan,2.0,4,SemiAuto-8,2WD,Gasoline,small SUV,7,22,27,24,5,No
VOLKSWAGEN Tiguan 4Motion,2.0,4,SemiAuto-8,4WD,Gasoline,small SUV,7,21,27,23,5,No
VOLVO Atlas,3.6,6,SemiAuto-8,2WD,Gasoline,small SUV,5,18,25,20,4,No
VOLVO Atlas 4Motion,3.6,6,SemiAuto-8,4WD,Gasoline,small SUV,5,17,23,19,3,No
VOLVO S60,2.0,4,SemiAuto-8,2WD,Gasoline,small car,7,25,36,29,6,No
VOLVO S60,2.0,4,SemiAuto-8,4WD,Gasoline,small car,3,22,32,26,5,No
VOLVO S60,2.0,4,SemiAuto-8,4WD,Gasoline,small car,3,22,33,26,5,No
VOLVO S60 CC,2.0,4,SemiAuto-8,4WD,Gasoline,small car,3,22,30,25,5,No
VOLVO S60 Inscription,2.0,4,SemiAuto-8,2WD,Gasoline,small car,3,25,36,29,6,No
VOLVO S60 Inscription,2.0,4,SemiAuto-8,4WD,Gasoline,small car,3,22,33,26,5,No
VOLVO S60 Polestar,2.0,4,SemiAuto-8,4WD,Gasoline,small car,1,20,27,22,4,No
VOLVO S90,2.0,4,SemiAuto-8,2WD,Gasoline,midsize car,3,24,34,27,6,No
VOLVO S90,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,3,22,31,25,5,No
VOLVO S90,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,3,23,32,26,5,No
VOLVO S90,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,5,23,32,26,5,No
VOLVO S90,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,5,22,31,25,5,No
VOLVO S90,2.0,4,SemiAuto-8,4WD,Gasoline/Electricity,midsize car,7,26/70,33/72,29/71,10,Elite
VOLVO V60,2.0,4,SemiAuto-8,2WD,Gasoline,station wagon,3,25,36,29,6,No
VOLVO V60,2.0,4,SemiAuto-8,4WD,Gasoline,station wagon,3,22,32,26,5,No
VOLVO V60,2.0,4,SemiAuto-8,4WD,Gasoline,station wagon,3,22,33,26,5,No
VOLVO V60 CC,2.0,4,SemiAuto-8,4WD,Gasoline,station wagon,3,22,30,25,5,No
VOLVO V60 Polestar,2.0,4,SemiAuto-8,4WD,Gasoline,station wagon,1,20,27,22,4,No
VOLVO V90,2.0,4,SemiAuto-8,2WD,Gasoline,station wagon,5,24,34,27,6,No
VOLVO V90,2.0,4,SemiAuto-8,4WD,Gasoline,station wagon,5,22,31,25,5,No
VOLVO V90 CC,2.0,4,SemiAuto-8,4WD,Gasoline,station wagon,5,23,31,26,5,No
VOLVO V90 CC,2.0,4,SemiAuto-8,4WD,Gasoline,station wagon,5,22,29,25,5,No
VOLVO XC 60,2.0,4,SemiAuto-8,4WD,Gasoline,small SUV,5,22,28,24,5,No
VOLVO XC 60,2.0,4,SemiAuto-8,4WD,Gasoline,small SUV,5,21,27,23,5,No
VOLVO XC 60,2.0,4,SemiAuto-8,4WD,Gasoline/Electricity,small SUV,7,26/60,28/58,26/59,10,Elite
VOLVO XC 90,2.0,4,SemiAuto-8,2WD,Gasoline,standard SUV,5,22,29,25,5,No
VOLVO XC 90,2.0,4,SemiAuto-8,4WD,Gasoline,standard SUV,5,22,28,24,5,No
VOLVO XC 90,2.0,4,SemiAuto-8,4WD,Gasoline,standard SUV,5,20,27,23,5,No
VOLVO XC 90,2.0,4,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,7,26/63,30/61,27/62,10,Elite
